strategy,seed,best_cost,feasible,time,timestamp
idID_short_tabu,101,0.0001510844864622193,True,0.6910719871520996,2025-11-12 14:36:39
idID_short_tabu,102,0.0001276229617068232,True,0.6642351150512695,2025-11-12 14:36:39
idID_short_tabu,103,8.302042348269763e-05,True,2.2088725566864014,2025-11-12 14:36:39
idID_short_tabu,104,0.00014691617537158696,True,1.9756920337677002,2025-11-12 14:36:39
idID_short_tabu,105,0.00018200211680323138,True,1.0601780414581299,2025-11-12 14:36:39
idID_medium_tabu,101,0.00015292859969043618,True,0.08466672897338867,2025-11-12 14:36:39
idID_medium_tabu,102,0.00012824344343353555,True,0.3203544616699219,2025-11-12 14:36:39
idID_medium_tabu,103,8.623986436947904e-05,True,0.23703503608703613,2025-11-12 14:36:39
idID_medium_tabu,104,0.00019142567591338603,True,0.39072084426879883,2025-11-12 14:36:39
idID_medium_tabu,105,0.00018785274800566494,True,0.2822141647338867,2025-11-12 14:36:39
idID_long_tabu,101,0.00015292859969043618,True,0.13064336776733398,2025-11-12 14:36:39
idID_long_tabu,102,0.00012824344343353555,True,0.30564284324645996,2025-11-12 14:36:39
idID_long_tabu,103,8.631391985291474e-05,True,0.22661185264587402,2025-11-12 14:36:39
idID_long_tabu,104,0.0001978122653275379,True,0.2359142303466797,2025-11-12 14:36:39
idID_long_tabu,105,0.00018815356169146858,True,0.22033333778381348,2025-11-12 14:36:39
TID_short_tabu,101,0.00010606426289084091,True,8.698437690734863,2025-11-12 14:36:39
TID_short_tabu,102,0.00010302937696519808,True,7.366979598999023,2025-11-12 14:36:39
TID_short_tabu,103,8.080323932593985e-05,True,1.478475570678711,2025-11-12 14:36:39
TID_short_tabu,104,8.679728706726491e-05,True,3.649540901184082,2025-11-12 14:36:39
TID_short_tabu,105,0.00014451488609552656,True,4.261516809463501,2025-11-12 14:36:39
TID_medium_tabu,101,0.00010263206613185462,True,7.353091478347778,2025-11-12 14:36:39
TID_medium_tabu,102,0.00015512215961212942,True,8.821160316467285,2025-11-12 14:36:39
TID_medium_tabu,103,7.944014682390418e-05,True,2.553617000579834,2025-11-12 14:36:39
TID_medium_tabu,104,8.679219775696569e-05,True,1.7660813331604004,2025-11-12 14:36:39
TID_medium_tabu,105,7.0088303683012e-05,True,5.341424942016602,2025-11-12 14:36:39
TID_long_tabu,101,0.00013636983805000567,True,0.7098917961120605,2025-11-12 14:36:39
TID_long_tabu,102,0.00019502050657859145,True,0.3156428337097168,2025-11-12 14:36:39
TID_long_tabu,103,8.191825688832037e-05,True,0.31187939643859863,2025-11-12 14:36:39
TID_long_tabu,104,8.679219775696569e-05,True,1.046072006225586,2025-11-12 14:36:39
TID_long_tabu,105,0.00013416529835461022,True,0.8143770694732666,2025-11-12 14:36:39
idID_TID_short_tabu,101,0.0001060738631122051,True,5.396501541137695,2025-11-12 14:36:39
idID_TID_short_tabu,102,6.787099261299881e-05,True,2.384897232055664,2025-11-12 14:36:39
idID_TID_short_tabu,103,8.059841437103906e-05,True,2.209672451019287,2025-11-12 14:36:39
idID_TID_short_tabu,104,0.00019709726778970073,True,3.618840456008911,2025-11-12 14:36:39
idID_TID_short_tabu,105,0.00012332074580962674,True,3.8017923831939697,2025-11-12 14:36:39
idID_TID_medium_tabu,101,0.00013854030712623917,True,0.8808443546295166,2025-11-12 14:36:39
idID_TID_medium_tabu,102,0.00012777347893400983,True,0.9136371612548828,2025-11-12 14:36:39
idID_TID_medium_tabu,103,8.142515141821877e-05,True,0.7081789970397949,2025-11-12 14:36:39
idID_TID_medium_tabu,104,0.00020106244562235925,True,0.7675502300262451,2025-11-12 14:36:39
idID_TID_medium_tabu,105,0.00015166895530992978,True,0.7288761138916016,2025-11-12 14:36:39
idID_TID_long_tabu,101,0.00013695583499882743,True,0.603858232498169,2025-11-12 14:36:39
idID_TID_long_tabu,102,0.0001955800514816475,True,0.48250746726989746,2025-11-12 14:36:39
idID_TID_long_tabu,103,8.191825688832037e-05,True,0.4711635112762451,2025-11-12 14:36:39
idID_TID_long_tabu,104,0.0001977911314831949,True,0.95766282081604,2025-11-12 14:36:39
idID_TID_long_tabu,105,0.00014883251053271626,True,0.5848393440246582,2025-11-12 14:36:39
