strategy,custo_medio,tempo_medio,viabilidade_media
TID_long_tabu,0.0001387578212407612,0.1521836757659912,1.0
TID_medium_tabu,0.00011599661326130195,0.4613062381744385,1.0
TID_short_tabu,0.00010723141711588085,0.6009595394134521,1.0
idID_TID_long_tabu,0.00011336075808352769,0.08245067596435547,1.0
idID_TID_medium_tabu,0.00012512694327922131,0.14818987846374512,1.0
idID_TID_short_tabu,8.410136209953947e-05,0.4411418914794922,1.0
idID_long_tabu,2689024791.8025417,0.04038152694702148,0.8
idID_medium_tabu,425633527.83453244,0.03899393081665039,0.8
idID_short_tabu,0.00015155031723509488,0.15189142227172853,1.0
