strategy,custo_medio,tempo_medio,viabilidade_media
TID_long_tabu,0.00025234179872193896,0.031955289840698245,1.0
TID_medium_tabu,0.00025173593919499505,0.05173025131225586,1.0
TID_short_tabu,0.0002472544973533369,0.11210980415344238,1.0
idID_TID_long_tabu,0.00024227571432590983,0.0209747314453125,1.0
idID_TID_medium_tabu,0.00024064965925805855,0.033828020095825195,1.0
idID_TID_short_tabu,0.0002455015362594114,0.05441570281982422,1.0
idID_long_tabu,29100.773861691974,0.018140459060668947,0.8
idID_medium_tabu,20137.02416674084,0.020252275466918945,0.8
idID_short_tabu,16349.031937281447,0.029265451431274413,0.8
