strategy,custo_medio,tempo_medio,viabilidade_media
TID_long_tabu,7.181074175348024e-05,1.4675373077392577,1.0
TID_medium_tabu,6.834365663303384e-05,2.0766083717346193,1.0
TID_short_tabu,6.73865924286923e-05,2.1667716026306154,1.0
idID_TID_long_tabu,6.622027860446723e-05,1.530537748336792,1.0
idID_TID_medium_tabu,7.313512799761665e-05,1.2489452838897706,1.0
idID_TID_short_tabu,6.586072997163173e-05,1.4629278182983398,1.0
idID_long_tabu,15.112178811178916,0.08511910438537598,0.8
idID_medium_tabu,52.16244124835801,0.06148362159729004,0.8
idID_short_tabu,1.8388046476704915e+58,0.7950725078582763,0.8
