strategy,run,variance,std_dev,return,sharpe,n_assets,is_feasible,time_sec,iterations,pct_feasible_iters,final_cost,tabu_min,tabu_max,K,H,step_size,use_idID,use_TID,data_type,market,n_assets_available
idID_only,1,0.20881880460307262,0.45696696226649974,0.0011847918023844511,0.0025927296724210214,14,True,50.32507252693176,195,1.0,0.20881880460307262,10,25,20,1,0.3,True,False,synthetic,synthetic,
idID_only,2,0.20881859189013985,0.45696672952211725,0.0011830517633721592,0.0025889231905556033,14,True,53.77057456970215,217,1.0,0.20881859189013985,10,25,20,1,0.3,True,False,synthetic,synthetic,
idID_only,3,0.20881836576050566,0.4569664820974353,0.0011858623355383816,0.0025950750919309868,14,True,57.53522872924805,217,1.0,0.20881836576050566,10,25,20,1,0.3,True,False,synthetic,synthetic,
idID_only,4,0.2088186156070124,0.456966755472444,0.0011865046567765777,0.0025964791586422665,14,True,67.79143190383911,237,1.0,0.2088186156070124,10,25,20,1,0.3,True,False,synthetic,synthetic,
idID_only,5,0.2088184305519809,0.45696655299045785,0.001187378263784497,0.0025983920617693246,14,True,69.10858511924744,223,1.0,0.2088184305519809,10,25,20,1,0.3,True,False,synthetic,synthetic,
idID_only,6,0.20881848911291243,0.45696661706618397,0.0011854196228189284,0.002594105517881277,14,True,87.8778748512268,292,1.0,0.20881848911291243,10,25,20,1,0.3,True,False,synthetic,synthetic,
idID_only,7,0.2088185235705567,0.45696665476876613,0.001185770852271601,0.002594873914534582,14,True,56.75400376319885,182,1.0,0.2088185235705567,10,25,20,1,0.3,True,False,synthetic,synthetic,
idID_only,8,0.2088183582533476,0.4569664738833119,0.001185628573801459,0.0025945635874027244,14,True,93.62077617645264,298,1.0,0.2088183582533476,10,25,20,1,0.3,True,False,synthetic,synthetic,
idID_only,9,0.20881858199666553,0.4569667186969589,0.0011869304271131327,0.0025974110992101705,14,True,88.86082673072815,270,1.0,0.20881858199666553,10,25,20,1,0.3,True,False,synthetic,synthetic,
idID_only,10,0.20881856358726106,0.4569666985539111,0.001184984041568543,0.002593151853993893,14,True,60.34101748466492,192,1.0,0.20881856358726106,10,25,20,1,0.3,True,False,synthetic,synthetic,
TID_only,1,0.20881880460307262,0.45696696226649974,0.0011847918023844511,0.0025927296724210214,14,True,64.44973874092102,195,1.0,0.20881880460307262,10,25,20,1,0.3,False,True,synthetic,synthetic,
TID_only,2,0.20881859189013985,0.45696672952211725,0.0011830517633721592,0.0025889231905556033,14,True,71.24678254127502,217,1.0,0.20881859189013985,10,25,20,1,0.3,False,True,synthetic,synthetic,
TID_only,3,0.20881836576050566,0.4569664820974353,0.0011858623355383816,0.0025950750919309868,14,True,75.12573385238647,217,1.0,0.20881836576050566,10,25,20,1,0.3,False,True,synthetic,synthetic,
TID_only,4,0.2088186156070124,0.456966755472444,0.0011865046567765777,0.0025964791586422665,14,True,81.2817325592041,237,1.0,0.2088186156070124,10,25,20,1,0.3,False,True,synthetic,synthetic,
TID_only,5,0.2088184305519809,0.45696655299045785,0.001187378263784497,0.0025983920617693246,14,True,60.33772253990173,223,1.0,0.2088184305519809,10,25,20,1,0.3,False,True,synthetic,synthetic,
TID_only,6,0.20881848911291243,0.45696661706618397,0.0011854196228189284,0.002594105517881277,14,True,102.99055767059326,292,1.0,0.20881848911291243,10,25,20,1,0.3,False,True,synthetic,synthetic,
TID_only,7,0.2088185235705567,0.45696665476876613,0.001185770852271601,0.002594873914534582,14,True,62.47245955467224,182,1.0,0.2088185235705567,10,25,20,1,0.3,False,True,synthetic,synthetic,
TID_only,8,0.2088183582533476,0.4569664738833119,0.001185628573801459,0.0025945635874027244,14,True,101.91697072982788,298,1.0,0.2088183582533476,10,25,20,1,0.3,False,True,synthetic,synthetic,
TID_only,9,0.20881858199666553,0.4569667186969589,0.0011869304271131327,0.0025974110992101705,14,True,99.69547152519226,270,1.0,0.20881858199666553,10,25,20,1,0.3,False,True,synthetic,synthetic,
TID_only,10,0.20881856358726106,0.4569666985539111,0.001184984041568543,0.002593151853993893,14,True,66.10913515090942,192,1.0,0.20881856358726106,10,25,20,1,0.3,False,True,synthetic,synthetic,
idID_TID,1,0.20881880460307262,0.45696696226649974,0.0011847918023844511,0.0025927296724210214,14,True,59.03899431228638,195,1.0,0.20881880460307262,10,25,20,1,0.3,True,True,synthetic,synthetic,
idID_TID,2,0.20881859189013985,0.45696672952211725,0.0011830517633721592,0.0025889231905556033,14,True,73.42104077339172,217,1.0,0.20881859189013985,10,25,20,1,0.3,True,True,synthetic,synthetic,
idID_TID,3,0.20881836576050566,0.4569664820974353,0.0011858623355383816,0.0025950750919309868,14,True,76.68780040740967,217,1.0,0.20881836576050566,10,25,20,1,0.3,True,True,synthetic,synthetic,
idID_TID,4,0.2088186156070124,0.456966755472444,0.0011865046567765777,0.0025964791586422665,14,True,75.41670846939087,237,1.0,0.2088186156070124,10,25,20,1,0.3,True,True,synthetic,synthetic,
idID_TID,5,0.2088184305519809,0.45696655299045785,0.001187378263784497,0.0025983920617693246,14,True,78.43992686271667,223,1.0,0.2088184305519809,10,25,20,1,0.3,True,True,synthetic,synthetic,
idID_TID,6,0.20881848911291243,0.45696661706618397,0.0011854196228189284,0.002594105517881277,14,True,114.53288650512695,292,1.0,0.20881848911291243,10,25,20,1,0.3,True,True,synthetic,synthetic,
idID_TID,7,0.2088185235705567,0.45696665476876613,0.001185770852271601,0.002594873914534582,14,True,78.87356853485107,182,1.0,0.2088185235705567,10,25,20,1,0.3,True,True,synthetic,synthetic,
